eps_microns,r,p
27,0.568,2.980986338070984e-09
28,0.598,2.5392508879159414e-10
29,0.614,5.741629815845902e-11
30,0.615,5.276276156493946e-11
31,0.623,2.627273135298812e-11
32,0.592,4.083847337180745e-10
33,0.604,1.42320260438363e-10
34,0.609,9.611570933633957e-11
35,0.619,3.8708618725911906e-11
36,0.623,2.5383933537814807e-11
37,0.627,1.7994534161923766e-11
38,0.626,1.9374838257577197e-11
39,0.625,2.174937714247786e-11
40,0.615,5.369444629286236e-11
